EcologExpTime,PlateCode,C -Source,Well,OD,WellNr,Date,Time
0,1,Water,A1,0.043,1,28/06/2012,22:21:28
0,1,_-Methyl-D-Glucoside,A2,0.041,2,28/06/2012,22:21:28
0,1,D-Galactonic Acid _-Lactone,A3,0.04,3,28/06/2012,22:21:28
0,1,L-Arginine,A4,0.043,4,28/06/2012,22:21:28
0,1,Pyruvic Acid Methyl Ester,B1,0.041,5,28/06/2012,22:21:28
0,1,D-Xylose,B2,0.041,6,28/06/2012,22:21:28
0,1,D-Galacturonic Acid,B3,0.044,7,28/06/2012,22:21:28
0,1,L-Asparagine,B4,0.095,8,28/06/2012,22:21:28
0,1,Tween 40,C1,0.04,9,28/06/2012,22:21:28
0,1,i-Erythritol,C2,0.044,10,28/06/2012,22:21:28
0,1,2-Hydroxy Benzoic Acid,C3,0.041,11,28/06/2012,22:21:28
0,1,L-Phenylalanine,C4,0.043,12,28/06/2012,22:21:28
0,1,Tween 80,D1,0.043,13,28/06/2012,22:21:28
0,1,D-Mannitol,D2,0.06,14,28/06/2012,22:21:28
0,1,4-Hydroxy Benzoic Acid,D3,0.042,15,28/06/2012,22:21:28
0,1,L-Serine,D4,0.04,16,28/06/2012,22:21:28
0,1,_-Cyclodextrin,E1,0.041,17,28/06/2012,22:21:28
0,1,N-Acetyl-D-Glucosamine,E2,0.058,18,28/06/2012,22:21:28
0,1,_-Hydroxybutyric Acid,E3,0.04,19,28/06/2012,22:21:28
0,1,L-Threonine,E4,0.042,20,28/06/2012,22:21:28
0,1,Glycogen,F1,0.042,21,28/06/2012,22:21:28
0,1,D-Glucosaminic Acid,F2,0.086,22,28/06/2012,22:21:28
0,1,Itaconic Acid,F3,0.082,23,28/06/2012,22:21:28
0,1,Glycyl-L-Glutamic Acid,F4,0.041,24,28/06/2012,22:21:28
0,1,D-Cellobiose,G1,0.056,25,28/06/2012,22:21:28
0,1,Glucose-1-Phosphate,G2,0.04,26,28/06/2012,22:21:28
0,1,_-Ketobutyric Acid,G3,0.057,27,28/06/2012,22:21:28
0,1,Phenylethyl-amine,G4,0.043,28,28/06/2012,22:21:28
0,1,_-D-Lactose,H1,0.061,29,28/06/2012,22:21:28
0,1,D L-_-Glycerol Phosphate,H2,0.038,30,28/06/2012,22:21:28
0,1,D-Malic Acid,H3,0.042,31,28/06/2012,22:21:28
0,1,Putrescine,H4,0.041,32,28/06/2012,22:21:28
0,1,Water,A1,0.058,33,28/06/2012,22:21:28
0,1,_-Methyl-D-Glucoside,A2,0.041,34,28/06/2012,22:21:28
0,1,D-Galactonic Acid _-Lactone,A3,0.04,35,28/06/2012,22:21:28
