EcologExpTime,PlateCode,C -Source,Well,OD,WellNr,Date,Time
0,1,D-Cellobiose,G1,0.039,89,12/07/2012,18:09:56
0,1,Glucose-1-Phosphate,G2,0.039,90,12/07/2012,18:09:56
0,1,_-Ketobutyric Acid,G3,0.06,91,12/07/2012,18:09:56
0,1,Phenylethyl-amine,G4,0.039,92,12/07/2012,18:09:56
0,1,_-D-Lactose,H1,0.039,93,12/07/2012,18:09:56
0,1,D L-_-Glycerol Phosphate,H2,0.096,94,12/07/2012,18:09:56
0,1,D-Malic Acid,H3,0.039,95,12/07/2012,18:09:56
0,1,Putrescine,H4,0.039,96,12/07/2012,18:09:56
12,1,Water,A1,0.041,1,13/07/2012,09:38:24
12,1,_-Methyl-D-Glucoside,A2,0.04,2,13/07/2012,09:38:24
12,1,D-Galactonic Acid _-Lactone,A3,0.082,3,13/07/2012,09:38:24
12,1,L-Arginine,A4,0.043,4,13/07/2012,09:38:24
12,1,Pyruvic Acid Methyl Ester,B1,0.043,5,13/07/2012,09:38:24
12,1,D-Xylose,B2,0.04,6,13/07/2012,09:38:24
12,1,D-Galacturonic Acid,B3,0.041,7,13/07/2012,09:38:24
12,1,L-Asparagine,B4,0.065,8,13/07/2012,09:38:24
12,1,Tween 40,C1,0.039,9,13/07/2012,09:38:24
12,1,i-Erythritol,C2,0.041,10,13/07/2012,09:38:24
12,1,2-Hydroxy Benzoic Acid,C3,0.04,11,13/07/2012,09:38:24
12,1,L-Phenylalanine,C4,0.044,12,13/07/2012,09:38:24
12,1,Tween 80,D1,0.043,13,13/07/2012,09:38:24
12,1,D-Mannitol,D2,0.061,14,13/07/2012,09:38:24
12,1,4-Hydroxy Benzoic Acid,D3,0.043,15,13/07/2012,09:38:24
12,1,L-Serine,D4,0.043,16,13/07/2012,09:38:24
12,1,_-Cyclodextrin,E1,0.045,17,13/07/2012,09:38:24
12,1,N-Acetyl-D-Glucosamine,E2,0.061,18,13/07/2012,09:38:24
12,1,_-Hydroxybutyric Acid,E3,0.043,19,13/07/2012,09:38:24
12,1,L-Threonine,E4,0.041,20,13/07/2012,09:38:24
12,1,Glycogen,F1,0.043,21,13/07/2012,09:38:24
12,1,D-Glucosaminic Acid,F2,0.075,22,13/07/2012,09:38:24
12,1,Itaconic Acid,F3,0.108,23,13/07/2012,09:38:24
12,1,Glycyl-L-Glutamic Acid,F4,0.045,24,13/07/2012,09:38:24
12,1,D-Cellobiose,G1,0.185,25,13/07/2012,09:38:24
12,1,Glucose-1-Phosphate,G2,0.041,26,13/07/2012,09:38:24
12,1,_-Ketobutyric Acid,G3,0.083,27,13/07/2012,09:38:24
12,1,Phenylethyl-amine,G4,0.044,28,13/07/2012,09:38:24
12,1,_-D-Lactose,H1,0.07,29,13/07/2012,09:38:24
12,1,D L-_-Glycerol Phosphate,H2,0.046,30,13/07/2012,09:38:24
12,1,D-Malic Acid,H3,0.048,31,13/07/2012,09:38:24
12,1,Putrescine,H4,0.041,32,13/07/2012,09:38:24
12,1,Water,A1,0.184,33,13/07/2012,09:38:24
12,1,_-Methyl-D-Glucoside,A2,0.039,34,13/07/2012,09:38:24
12,1,D-Galactonic Acid _-Lactone,A3,0.129,35,13/07/2012,09:38:24
12,1,L-Arginine,A4,0.092,36,13/07/2012,09:38:24
12,1,Pyruvic Acid Methyl Ester,B1,0.052,37,13/07/2012,09:38:24
12,1,D-Xylose,B2,0.042,38,13/07/2012,09:38:24
12,1,D-Galacturonic Acid,B3,0.041,39,13/07/2012,09:38:24
12,1,L-Asparagine,B4,0.04,40,13/07/2012,09:38:24
12,1,Tween 40,C1,0.055,41,13/07/2012,09:38:24
12,1,i-Erythritol,C2,0.04,42,13/07/2012,09:38:24
12,1,2-Hydroxy Benzoic Acid,C3,0.053,43,13/07/2012,09:38:24
12,1,L-Phenylalanine,C4,0.04,44,13/07/2012,09:38:24
12,1,Tween 80,D1,0.214,45,13/07/2012,09:38:24
12,1,D-Mannitol,D2,0.045,46,13/07/2012,09:38:24
12,1,4-Hydroxy Benzoic Acid,D3,0.063,47,13/07/2012,09:38:24
12,1,L-Serine,D4,0.041,48,13/07/2012,09:38:24
12,1,_-Cyclodextrin,E1,0.044,49,13/07/2012,09:38:24
12,1,N-Acetyl-D-Glucosamine,E2,0.042,50,13/07/2012,09:38:24
12,1,_-Hydroxybutyric Acid,E3,0.043,51,13/07/2012,09:38:24
12,1,L-Threonine,E4,0.04,52,13/07/2012,09:38:24
12,1,Glycogen,F1,0.041,53,13/07/2012,09:38:24
12,1,D-Glucosaminic Acid,F2,0.04,54,13/07/2012,09:38:24
12,1,Itaconic Acid,F3,0.041,55,13/07/2012,09:38:24
12,1,Glycyl-L-Glutamic Acid,F4,0.04,56,13/07/2012,09:38:24
12,1,D-Cellobiose,G1,0.042,57,13/07/2012,09:38:24
12,1,Glucose-1-Phosphate,G2,0.073,58,13/07/2012,09:38:24
12,1,_-Ketobutyric Acid,G3,0.043,59,13/07/2012,09:38:24
12,1,Phenylethyl-amine,G4,0.106,60,13/07/2012,09:38:24
12,1,_-D-Lactose,H1,0.049,61,13/07/2012,09:38:24
12,1,D L-_-Glycerol Phosphate,H2,0.043,62,13/07/2012,09:38:24
12,1,D-Malic Acid,H3,0.04,63,13/07/2012,09:38:24
12,1,Putrescine,H4,0.04,64,13/07/2012,09:38:24
12,1,Water,A1,0.049,65,13/07/2012,09:38:24
12,1,_-Methyl-D-Glucoside,A2,0.04,66,13/07/2012,09:38:24
12,1,D-Galactonic Acid _-Lactone,A3,0.04,67,13/07/2012,09:38:24
12,1,L-Arginine,A4,0.043,68,13/07/2012,09:38:24
12,1,Pyruvic Acid Methyl Ester,B1,0.049,69,13/07/2012,09:38:24
12,1,D-Xylose,B2,0.076,70,13/07/2012,09:38:24
12,1,D-Galacturonic Acid,B3,0.04,71,13/07/2012,09:38:24
12,1,L-Asparagine,B4,0.046,72,13/07/2012,09:38:24
12,1,Tween 40,C1,0.041,73,13/07/2012,09:38:24
12,1,i-Erythritol,C2,0.041,74,13/07/2012,09:38:24
12,1,2-Hydroxy Benzoic Acid,C3,0.042,75,13/07/2012,09:38:24
12,1,L-Phenylalanine,C4,0.04,76,13/07/2012,09:38:24
12,1,Tween 80,D1,0.04,77,13/07/2012,09:38:24
12,1,D-Mannitol,D2,0.057,78,13/07/2012,09:38:24
12,1,4-Hydroxy Benzoic Acid,D3,0.042,79,13/07/2012,09:38:24
12,1,L-Serine,D4,0.04,80,13/07/2012,09:38:24
12,1,_-Cyclodextrin,E1,0.041,81,13/07/2012,09:38:24
12,1,N-Acetyl-D-Glucosamine,E2,0.044,82,13/07/2012,09:38:24
12,1,_-Hydroxybutyric Acid,E3,0.042,83,13/07/2012,09:38:24
12,1,L-Threonine,E4,0.042,84,13/07/2012,09:38:24
12,1,Glycogen,F1,0.043,85,13/07/2012,09:38:24
12,1,D-Glucosaminic Acid,F2,0.041,86,13/07/2012,09:38:24
12,1,Itaconic Acid,F3,0.039,87,13/07/2012,09:38:24
12,1,Glycyl-L-Glutamic Acid,F4,0.04,88,13/07/2012,09:38:24
12,1,D-Cellobiose,G1,0.039,89,13/07/2012,09:38:24
12,1,Glucose-1-Phosphate,G2,0.04,90,13/07/2012,09:38:24
12,1,_-Ketobutyric Acid,G3,0.094,91,13/07/2012,09:38:24
12,1,Phenylethyl-amine,G4,0.039,92,13/07/2012,09:38:24
12,1,_-D-Lactose,H1,0.039,93,13/07/2012,09:38:24
12,1,D L-_-Glycerol Phosphate,H2,0.071,94,13/07/2012,09:38:24
12,1,D-Malic Acid,H3,0.04,95,13/07/2012,09:38:24
12,1,Putrescine,H4,0.041,96,13/07/2012,09:38:24
24,1,Water,A1,0.045,1,13/07/2012,20:49:05
24,1,_-Methyl-D-Glucoside,A2,0.041,2,13/07/2012,20:49:05
24,1,D-Galactonic Acid _-Lactone,A3,0.063,3,13/07/2012,20:49:05
24,1,L-Arginine,A4,0.043,4,13/07/2012,20:49:05
24,1,Pyruvic Acid Methyl Ester,B1,0.044,5,13/07/2012,20:49:05
24,1,D-Xylose,B2,0.043,6,13/07/2012,20:49:05
24,1,D-Galacturonic Acid,B3,0.046,7,13/07/2012,20:49:05
24,1,L-Asparagine,B4,0.063,8,13/07/2012,20:49:05
24,1,Tween 40,C1,0.043,9,13/07/2012,20:49:05
24,1,i-Erythritol,C2,0.044,10,13/07/2012,20:49:05
24,1,2-Hydroxy Benzoic Acid,C3,0.043,11,13/07/2012,20:49:05
24,1,L-Phenylalanine,C4,0.044,12,13/07/2012,20:49:05
24,1,Tween 80,D1,0.043,13,13/07/2012,20:49:05
24,1,D-Mannitol,D2,0.06,14,13/07/2012,20:49:05
24,1,4-Hydroxy Benzoic Acid,D3,0.043,15,13/07/2012,20:49:05
24,1,L-Serine,D4,0.043,16,13/07/2012,20:49:05
24,1,_-Cyclodextrin,E1,0.046,17,13/07/2012,20:49:05
24,1,N-Acetyl-D-Glucosamine,E2,0.061,18,13/07/2012,20:49:05
24,1,_-Hydroxybutyric Acid,E3,0.045,19,13/07/2012,20:49:05
24,1,L-Threonine,E4,0.045,20,13/07/2012,20:49:05
24,1,Glycogen,F1,0.044,21,13/07/2012,20:49:05
24,1,D-Glucosaminic Acid,F2,0.062,22,13/07/2012,20:49:05
24,1,Itaconic Acid,F3,0.074,23,13/07/2012,20:49:05
24,1,Glycyl-L-Glutamic Acid,F4,0.044,24,13/07/2012,20:49:05
24,1,D-Cellobiose,G1,0.169,25,13/07/2012,20:49:05
24,1,Glucose-1-Phosphate,G2,0.042,26,13/07/2012,20:49:05
24,1,_-Ketobutyric Acid,G3,0.078,27,13/07/2012,20:49:05
24,1,Phenylethyl-amine,G4,0.045,28,13/07/2012,20:49:05
24,1,_-D-Lactose,H1,0.068,29,13/07/2012,20:49:05
24,1,D L-_-Glycerol Phosphate,H2,0.046,30,13/07/2012,20:49:05
24,1,D-Malic Acid,H3,0.046,31,13/07/2012,20:49:05
24,1,Putrescine,H4,0.043,32,13/07/2012,20:49:05
24,1,Water,A1,0.174,33,13/07/2012,20:49:05
24,1,_-Methyl-D-Glucoside,A2,0.042,34,13/07/2012,20:49:05
24,1,D-Galactonic Acid _-Lactone,A3,0.043,35,13/07/2012,20:49:05
24,1,L-Arginine,A4,0.08,36,13/07/2012,20:49:05
24,1,Pyruvic Acid Methyl Ester,B1,0.052,37,13/07/2012,20:49:05
24,1,D-Xylose,B2,0.042,38,13/07/2012,20:49:05
24,1,D-Galacturonic Acid,B3,0.041,39,13/07/2012,20:49:05
24,1,L-Asparagine,B4,0.04,40,13/07/2012,20:49:05
24,1,Tween 40,C1,0.054,41,13/07/2012,20:49:05
24,1,i-Erythritol,C2,0.041,42,13/07/2012,20:49:05
24,1,2-Hydroxy Benzoic Acid,C3,0.044,43,13/07/2012,20:49:05
24,1,L-Phenylalanine,C4,0.043,44,13/07/2012,20:49:05
24,1,Tween 80,D1,0.197,45,13/07/2012,20:49:05
24,1,D-Mannitol,D2,0.052,46,13/07/2012,20:49:05
24,1,4-Hydroxy Benzoic Acid,D3,0.057,47,13/07/2012,20:49:05
24,1,L-Serine,D4,0.044,48,13/07/2012,20:49:05
24,1,_-Cyclodextrin,E1,0.044,49,13/07/2012,20:49:05
24,1,N-Acetyl-D-Glucosamine,E2,0.042,50,13/07/2012,20:49:05
24,1,_-Hydroxybutyric Acid,E3,0.044,51,13/07/2012,20:49:05
24,1,L-Threonine,E4,0.04,52,13/07/2012,20:49:05
24,1,Glycogen,F1,0.042,53,13/07/2012,20:49:05
24,1,D-Glucosaminic Acid,F2,0.042,54,13/07/2012,20:49:05
24,1,Itaconic Acid,F3,0.043,55,13/07/2012,20:49:05
24,1,Glycyl-L-Glutamic Acid,F4,0.043,56,13/07/2012,20:49:05
24,1,D-Cellobiose,G1,0.045,57,13/07/2012,20:49:05
24,1,Glucose-1-Phosphate,G2,0.07,58,13/07/2012,20:49:05
24,1,_-Ketobutyric Acid,G3,0.051,59,13/07/2012,20:49:05
24,1,Phenylethyl-amine,G4,0.102,60,13/07/2012,20:49:05
24,1,_-D-Lactose,H1,0.05,61,13/07/2012,20:49:05
24,1,D L-_-Glycerol Phosphate,H2,0.047,62,13/07/2012,20:49:05
24,1,D-Malic Acid,H3,0.041,63,13/07/2012,20:49:05
24,1,Putrescine,H4,0.042,64,13/07/2012,20:49:05
24,1,Water,A1,0.05,65,13/07/2012,20:49:05
24,1,_-Methyl-D-Glucoside,A2,0.046,66,13/07/2012,20:49:05
24,1,D-Galactonic Acid _-Lactone,A3,0.043,67,13/07/2012,20:49:05
24,1,L-Arginine,A4,0.047,68,13/07/2012,20:49:05
24,1,Pyruvic Acid Methyl Ester,B1,0.052,69,13/07/2012,20:49:05
24,1,D-Xylose,B2,0.098,70,13/07/2012,20:49:05
24,1,D-Galacturonic Acid,B3,0.044,71,13/07/2012,20:49:05
24,1,L-Asparagine,B4,0.051,72,13/07/2012,20:49:05
24,1,Tween 40,C1,0.043,73,13/07/2012,20:49:05
24,1,i-Erythritol,C2,0.042,74,13/07/2012,20:49:05
24,1,2-Hydroxy Benzoic Acid,C3,0.043,75,13/07/2012,20:49:05
24,1,L-Phenylalanine,C4,0.042,76,13/07/2012,20:49:05
24,1,Tween 80,D1,0.041,77,13/07/2012,20:49:05
24,1,D-Mannitol,D2,0.044,78,13/07/2012,20:49:05
24,1,4-Hydroxy Benzoic Acid,D3,0.044,79,13/07/2012,20:49:05
24,1,L-Serine,D4,0.043,80,13/07/2012,20:49:05
24,1,_-Cyclodextrin,E1,0.044,81,13/07/2012,20:49:05
24,1,N-Acetyl-D-Glucosamine,E2,0.044,82,13/07/2012,20:49:05
24,1,_-Hydroxybutyric Acid,E3,0.046,83,13/07/2012,20:49:05
24,1,L-Threonine,E4,0.044,84,13/07/2012,20:49:05
24,1,Glycogen,F1,0.045,85,13/07/2012,20:49:05
24,1,D-Glucosaminic Acid,F2,0.041,86,13/07/2012,20:49:05
24,1,Itaconic Acid,F3,0.041,87,13/07/2012,20:49:05
24,1,Glycyl-L-Glutamic Acid,F4,0.041,88,13/07/2012,20:49:05
24,1,D-Cellobiose,G1,0.042,89,13/07/2012,20:49:05
24,1,Glucose-1-Phosphate,G2,0.043,90,13/07/2012,20:49:05
24,1,_-Ketobutyric Acid,G3,0.042,91,13/07/2012,20:49:05
24,1,Phenylethyl-amine,G4,0.043,92,13/07/2012,20:49:05
24,1,_-D-Lactose,H1,0.042,93,13/07/2012,20:49:05
24,1,D L-_-Glycerol Phosphate,H2,0.057,94,13/07/2012,20:49:05
24,1,D-Malic Acid,H3,0.043,95,13/07/2012,20:49:05
24,1,Putrescine,H4,0.043,96,13/07/2012,20:49:05
40,1,Water,A1,0.077,1,14/07/2012,14:47:11
40,1,_-Methyl-D-Glucoside,A2,0.043,2,14/07/2012,14:47:11
40,1,D-Galactonic Acid _-Lactone,A3,0.061,3,14/07/2012,14:47:11
40,1,L-Arginine,A4,0.044,4,14/07/2012,14:47:11
40,1,Pyruvic Acid Methyl Ester,B1,0.069,5,14/07/2012,14:47:11
40,1,D-Xylose,B2,0.077,6,14/07/2012,14:47:11
40,1,D-Galacturonic Acid,B3,0.346,7,14/07/2012,14:47:11
40,1,L-Asparagine,B4,0.06,8,14/07/2012,14:47:11
40,1,Tween 40,C1,0.043,9,14/07/2012,14:47:11
40,1,i-Erythritol,C2,0.045,10,14/07/2012,14:47:11
40,1,2-Hydroxy Benzoic Acid,C3,0.118,11,14/07/2012,14:47:11
40,1,L-Phenylalanine,C4,0.161,12,14/07/2012,14:47:11
40,1,Tween 80,D1,0.064,13,14/07/2012,14:47:11
40,1,D-Mannitol,D2,0.059,14,14/07/2012,14:47:11
40,1,4-Hydroxy Benzoic Acid,D3,0.043,15,14/07/2012,14:47:11
40,1,L-Serine,D4,0.043,16,14/07/2012,14:47:11
40,1,_-Cyclodextrin,E1,0.089,17,14/07/2012,14:47:11
40,1,N-Acetyl-D-Glucosamine,E2,0.061,18,14/07/2012,14:47:11
40,1,_-Hydroxybutyric Acid,E3,0.045,19,14/07/2012,14:47:11
40,1,L-Threonine,E4,0.27,20,14/07/2012,14:47:11
40,1,Glycogen,F1,0.096,21,14/07/2012,14:47:11
40,1,D-Glucosaminic Acid,F2,0.054,22,14/07/2012,14:47:11
40,1,Itaconic Acid,F3,0.07,23,14/07/2012,14:47:11
40,1,Glycyl-L-Glutamic Acid,F4,0.204,24,14/07/2012,14:47:11
40,1,D-Cellobiose,G1,0.173,25,14/07/2012,14:47:11
40,1,Glucose-1-Phosphate,G2,0.041,26,14/07/2012,14:47:11
40,1,_-Ketobutyric Acid,G3,0.07,27,14/07/2012,14:47:11
40,1,Phenylethyl-amine,G4,0.045,28,14/07/2012,14:47:11
40,1,_-D-Lactose,H1,0.068,29,14/07/2012,14:47:11
40,1,D L-_-Glycerol Phosphate,H2,0.048,30,14/07/2012,14:47:11
40,1,D-Malic Acid,H3,0.049,31,14/07/2012,14:47:11
40,1,Putrescine,H4,0.043,32,14/07/2012,14:47:11
40,1,Water,A1,0.231,33,14/07/2012,14:47:11
40,1,_-Methyl-D-Glucoside,A2,0.067,34,14/07/2012,14:47:11
40,1,D-Galactonic Acid _-Lactone,A3,0.043,35,14/07/2012,14:47:11
40,1,L-Arginine,A4,0.078,36,14/07/2012,14:47:11
40,1,Pyruvic Acid Methyl Ester,B1,0.054,37,14/07/2012,14:47:11
40,1,D-Xylose,B2,0.066,38,14/07/2012,14:47:11
40,1,D-Galacturonic Acid,B3,0.05,39,14/07/2012,14:47:11
40,1,L-Asparagine,B4,0.041,40,14/07/2012,14:47:11
40,1,Tween 40,C1,0.075,41,14/07/2012,14:47:11
40,1,i-Erythritol,C2,0.072,42,14/07/2012,14:47:11
40,1,2-Hydroxy Benzoic Acid,C3,0.046,43,14/07/2012,14:47:11
40,1,L-Phenylalanine,C4,0.043,44,14/07/2012,14:47:11
40,1,Tween 80,D1,0.182,45,14/07/2012,14:47:11
40,1,D-Mannitol,D2,0.107,46,14/07/2012,14:47:11
40,1,4-Hydroxy Benzoic Acid,D3,0.067,47,14/07/2012,14:47:11
40,1,L-Serine,D4,0.045,48,14/07/2012,14:47:11
40,1,_-Cyclodextrin,E1,0.044,49,14/07/2012,14:47:11
40,1,N-Acetyl-D-Glucosamine,E2,0.042,50,14/07/2012,14:47:11
40,1,_-Hydroxybutyric Acid,E3,0.06,51,14/07/2012,14:47:11
40,1,L-Threonine,E4,0.04,52,14/07/2012,14:47:11
40,1,Glycogen,F1,0.042,53,14/07/2012,14:47:11
40,1,D-Glucosaminic Acid,F2,0.042,54,14/07/2012,14:47:11
40,1,Itaconic Acid,F3,0.043,55,14/07/2012,14:47:11
40,1,Glycyl-L-Glutamic Acid,F4,0.043,56,14/07/2012,14:47:11
40,1,D-Cellobiose,G1,0.045,57,14/07/2012,14:47:11
40,1,Glucose-1-Phosphate,G2,0.07,58,14/07/2012,14:47:11
40,1,_-Ketobutyric Acid,G3,0.073,59,14/07/2012,14:47:11
