EcologExpTime,PlateCode,C -Source,Well,OD700,WellNr,Date,Time
0,1,D-Cellobiose,G1,0.039,89,14/06/2012,22:02:53
0,1,Glucose-1-Phosphate,G2,0.04,90,14/06/2012,22:02:53
0,1,_-Ketobutyric Acid,G3,0.04,91,14/06/2012,22:02:53
0,1,Phenylethyl-amine,G4,0.039,92,14/06/2012,22:02:53
0,1,_-D-Lactose,H1,0.041,93,14/06/2012,22:02:53
0,1,D L-_-Glycerol Phosphate,H2,0.104,94,14/06/2012,22:02:53
0,1,D-Malic Acid,H3,0.04,95,14/06/2012,22:02:53
0,1,Putrescine,H4,0.043,96,14/06/2012,22:02:53
13,1,Water,A1,0.047,1,15/06/2012,13:28:17
13,1,_-Methyl-D-Glucoside,A2,0.044,2,15/06/2012,13:28:17
13,1,D-Galactonic Acid _-Lactone,A3,0.042,3,15/06/2012,13:28:17
13,1,L-Arginine,A4,0.051,4,15/06/2012,13:28:17
13,1,Pyruvic Acid Methyl Ester,B1,0.045,5,15/06/2012,13:28:17
13,1,D-Xylose,B2,0.041,6,15/06/2012,13:28:17
13,1,D-Galacturonic Acid,B3,0.044,7,15/06/2012,13:28:17
13,1,L-Asparagine,B4,0.094,8,15/06/2012,13:28:17
13,1,Tween 40,C1,0.043,9,15/06/2012,13:28:17
13,1,i-Erythritol,C2,0.041,10,15/06/2012,13:28:17
13,1,2-Hydroxy Benzoic Acid,C3,0.04,11,15/06/2012,13:28:17
13,1,L-Phenylalanine,C4,0.046,12,15/06/2012,13:28:17
13,1,Tween 80,D1,0.042,13,15/06/2012,13:28:17
13,1,D-Mannitol,D2,0.056,14,15/06/2012,13:28:17
13,1,4-Hydroxy Benzoic Acid,D3,0.043,15,15/06/2012,13:28:17
13,1,L-Serine,D4,0.043,16,15/06/2012,13:28:17
13,1,_-Cyclodextrin,E1,0.04,17,15/06/2012,13:28:17
13,1,N-Acetyl-D-Glucosamine,E2,0.053,18,15/06/2012,13:28:17
13,1,_-Hydroxybutyric Acid,E3,0.04,19,15/06/2012,13:28:17
13,1,L-Threonine,E4,0.041,20,15/06/2012,13:28:17
13,1,Glycogen,F1,0.044,21,15/06/2012,13:28:17
13,1,D-Glucosaminic Acid,F2,0.055,22,15/06/2012,13:28:17
13,1,Itaconic Acid,F3,0.096,23,15/06/2012,13:28:17
13,1,Glycyl-L-Glutamic Acid,F4,0.041,24,15/06/2012,13:28:17
13,1,D-Cellobiose,G1,0.053,25,15/06/2012,13:28:17
13,1,Glucose-1-Phosphate,G2,0.042,26,15/06/2012,13:28:17
13,1,_-Ketobutyric Acid,G3,0.043,27,15/06/2012,13:28:17
13,1,Phenylethyl-amine,G4,0.041,28,15/06/2012,13:28:17
13,1,_-D-Lactose,H1,0.125,29,15/06/2012,13:28:17
13,1,D L-_-Glycerol Phosphate,H2,0.051,30,15/06/2012,13:28:17
13,1,D-Malic Acid,H3,0.039,31,15/06/2012,13:28:17
13,1,Putrescine,H4,0.041,32,15/06/2012,13:28:17
13,1,Water,A1,0.049,33,15/06/2012,13:28:17
13,1,_-Methyl-D-Glucoside,A2,0.042,34,15/06/2012,13:28:17
13,1,D-Galactonic Acid _-Lactone,A3,0.04,35,15/06/2012,13:28:17
13,1,L-Arginine,A4,0.072,36,15/06/2012,13:28:17
13,1,Pyruvic Acid Methyl Ester,B1,0.054,37,15/06/2012,13:28:17
13,1,D-Xylose,B2,0.041,38,15/06/2012,13:28:17
13,1,D-Galacturonic Acid,B3,0.042,39,15/06/2012,13:28:17
13,1,L-Asparagine,B4,0.039,40,15/06/2012,13:28:17
13,1,Tween 40,C1,0.054,41,15/06/2012,13:28:17
13,1,i-Erythritol,C2,0.04,42,15/06/2012,13:28:17
13,1,2-Hydroxy Benzoic Acid,C3,0.039,43,15/06/2012,13:28:17
13,1,L-Phenylalanine,C4,0.039,44,15/06/2012,13:28:17
13,1,Tween 80,D1,0.054,45,15/06/2012,13:28:17
