"OTU.ID"	"gbg25"	"gbg3"	"gbg1"	"gbg29"	"gbg17"	"gbg31"	"gbg22"	"gbg10"	"gbg49"	"gbg37"	"gbg27"	"gbg23"	"gbg24"	"gbg5"	"gbg21"	"gbg19"	"gbg7"	"gbg4"	"gbg8"	"gbg13"	"gbg36"	"gbg41"	"gbg14"	"gbg43"	"gbg15"	"gbg48"	"gbg30"	"gbg18"	"gbg6"	"gbg34"	"gbg39"	"gbg50"	"gbg40"	"gbg28"	"gbg26"	"gbg9"	"gbg45"	"gbg32"	"gbg42"	"gbg38"	"gbg46"	"gbg44"	"gbg20"	"gbg11"	"gbg2"	"gbg33"	"gbg16"	"gbg47"	"gbg35"	"gbg12"	"gbg86"	"gbg77"	"gbg65"	"gbg71"	"gbg63"	"gbg79"	"gbg60"	"gbg73"	"gbg88"	"gbg85"	"gbg75"	"gbg72"	"gbg95"	"gbg62"	"gbg74"	"gbg89"	"gbg51"	"gbg58"	"gbg61"	"gbg76"	"gbg52"	"gbg67"	"gbg56"	"gbg53"	"gbg87"	"gbg92"	"gbg98"	"gbg80"	"gbg82"	"gbg64"	"gbg91"	"gbg54"	"gbg57"	"gbg93"	"gbg81"	"gbg68"	"gbg78"	"gbg70"	"gbg100"	"gbg69"	"gbg55"	"gbg66"	"gbg94"	"gbg99"	"gbg90"	"gbg83"	"gbg84"	"gbg59"	"gbg97"	"gbg117"	"gbg111"	"gbg118"	"gbg125"	"gbg101"	"gbg115"	"gbg106"	"gbg121"	"gbg127"	"gbg110"	"gbg112"	"gbg103"	"gbg113"	"gbg107"	"gbg140"	"gbg120"	"gbg132"	"gbg119"	"gbg136"	"gbg108"	"gbg123"	"gbg130"	"gbg135"	"gbg105"	"gbg126"	"gbg128"	"gbg102"	"gbg109"	"gbg104"	"gbg124"	"gbg141"	"gbg139"	"gbg114"	"gbg122"	"gbg131"	"gbg145"	"gbg138"	"gbg129"	"gbg134"	"gbg137"	"gbg116"	"gbg142"	"gbg133"	"gbg144"	"gbg143"
"21"	"OTU_28"	1061	1	131	0	0	1	0	0	44	0	2	0	0	0	0	1	0	2	0	962	0	606	2265	0	88	0	0	0	0	0	9	4	0	1	12	0	0	0	12	3	0	0	0	0	2	0	1	0	0	0	2	0	7	2	53	0	0	99	0	0	7	0	0	1183	1	614	2	0	385	0	11	1	0	2	5	0	47	1	0	11	0	1	0	0	0	0	0	1	0	0	0	5	0	2	15	0	0	0	0	306	122	7	5	210	286	0	1	0	499	71	4466	10	0	0	40	0	8	2	0	5	0	0	1	0	0	8	0	1	2	0	3	1539	239	0	0	104	0	0	0	1984	0	0	0	1
"22"	"OTU_25"	5710	92	243	0	13	0	1	0	1060	1	124	0	0	1	0	0	0	17	0	1021	1	0	601	0	65	0	1	0	0	0	0	326	2	23	380	0	0	2	5	0	0	0	0	0	43	2	2	0	0	1	0	4	3	0	29	0	1	5544	0	1	1007	1	0	438	140	1	117	0	616	41	38	0	0	1	1	0	293	0	1	11	0	2	0	2	0	0	5	0	26	0	0	0	0	96	0	0	0	0	0	0	187	0	9	13	1	0	0	5	1138	42	0	8	0	0	0	0	0	0	0	112	0	0	0	1	0	2	0	0	65	0	0	3	1685	0	0	0	1	0	0	0	0	0	0	0
"23"	"OTU_17"	0	1	0	1	3	0	0	0	0	8	0	0	0	0	3	0	0	2	0	0	0	1838	1	8206	0	0	0	0	0	1	584	0	2018	0	1	1	1	2	4222	19	1	1	1	0	0	0	0	0	0	0	33	0	0	1	0	1	0	1	619	7	0	0	0	0	0	1492	0	0	0	1	0	0	1	0	703	2	0	0	1	1	3347	1	0	3	2	0	1	0	0	2	0	0	1	0	4286	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2939	0	0	0	961	0	0	1	6	1	0	0	0	1	0	0	0	1377	1	0	0	0	132	0	24	435	0	0	0	0	1
"24"	"OTU_35"	1701	172	1184	0	7	1	0	1	1183	3	35	0	0	2	2	0	0	36	0	844	0	0	321	0	32	0	0	0	6	1	0	778	0	4	115	0	1	0	2	0	0	0	0	0	233	1	1	0	0	0	0	3	6	0	32	0	0	1827	0	3	419	1	0	238	35	1	309	0	682	17	69	0	0	6	1	0	897	0	0	24	0	2	0	0	0	0	1	0	90	0	0	1	1	414	0	0	0	1	0	0	124	4	0	40	0	0	0	1	1188	46	1	8	0	0	0	1	0	1	0	98	0	0	2	0	0	7	0	1	44	0	0	2	886	0	0	0	0	0	0	0	0	0	0	0
"25"	"OTU_31"	1528	229	4884	0	3	2	0	0	2032	49	20	0	0	8	2	0	0	44	1	760	0	0	228	0	19	0	0	1	2	0	0	598	1	1	52	0	1	0	0	6	0	0	1	0	538	0	0	0	0	0	6	1	2	0	7	1	0	1507	0	30	89	0	0	138	19	0	219	0	436	3	67	0	0	10	6	0	1393	0	0	12	0	0	0	0	0	0	0	1	59	2	0	0	0	203	1	0	0	0	0	0	85	3	2	29	1	0	0	0	289	13	3	2	0	0	0	0	0	3	0	21	1	10	0	0	0	16	0	1	8	0	0	2	884	0	0	0	0	1	1	0	0	0	0	0
"26"	"OTU_24"	1	20	0	91	2	1	2	0	0	0	1713	0	0	31	2	1	0	249	0	0	0	0	6	1	0	0	7435	0	514	0	18	3	1	15	684	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	955	3	1	3	0	0	0	0	0	259	0	2	3	296	0	15	0	1	450	109	0	0	57	1	0	0	2	0	0	0	502	1	0	1	0	9044	0	9	0	0	0	1	3	0	0	0	1	0	1	2	0	216	46	11	0	0	700	0	1	45	1	0	0	0	0	0	0	0	91	1	0	0	1591	1	50	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	"OTU_7"	14	371	0	0	5385	4	0	0	0	5	2	2	4	0	1	1287	0	6	0	2	0	0	5587	1	4296	0	0	3634	2	1	2	949	1	0	11	1	0	1	0	0	0	4	5906	1	832	0	1331	0	0	3	1	2	7120	7	3024	13	1	26	0	1	30	36	2	6784	1	0	830	0	35	1	4	5826	0	1	1	0	0	0	2	6500	0	1	1	0	1	7179	2	1	1038	6	0	13190	0	1256	0	0	0	1	0	8901	8119	9	12	1	3905	7	24	0	117	19180	6	15090	2	0	0	2	4	1	1	23	2	0	2	0	12	1	0	10	8	0	0	11210	19	2	0	0	1	0	1	2557	0	2	0	0
"28"	"OTU_120"	1	1	0	0	0	3	0	7	0	0	2	0	152	1	0	0	2	0	33	0	67	0	0	0	0	3	2	0	0	1166	1	1	1	0	0	6	0	5	0	0	0	0	0	3678	0	6	0	0	2	0	3	1	1	0	0	14	4638	0	0	0	2	1431	2	1	1	2	0	19	5	4	0	1	270	4	0	1	0	2	823	1	1	0	125	0	28	0	4	0	0	2	11	0	1	0	1	2	79	5603	0	1	0	0	288	1	6	202	1646	145	1	2	3	0	17	0	0	97	6	2	3651	183	92	0	652	37	175	3	5461	57	152	1	0	1	0	815	0	0	117	0	1	1	0	170	2	0
"29"	"OTU_45"	39	2	405	0	1	0	0	0	971	2	0	0	0	0	0	0	0	2	0	23	0	0	7	0	0	1	0	0	0	0	0	449	1	0	3	0	0	0	0	0	0	0	0	0	38	1	0	0	0	0	0	0	88	0	0	1	0	3	0	0	0	0	0	270	0	0	174	0	467	0	2	0	1	9	2	1	235	0	0	3	0	0	0	0	0	0	0	0	107	1	1	0	0	404	2	0	0	0	0	0	39	0	0	16	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	37	0	0	0	0	0	195	5	0	0	0	1	1	0	0	0	0	0	0
"30"	"OTU_37"	14	1	31	0	0	0	0	0	37	183	0	0	0	1	0	1	0	0	0	0	0	110	0	16	0	0	0	0	0	2	277	1	782	0	0	0	19	1	31	510	1	6	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	9	435	218	0	0	0	1	0	423	0	0	0	0	1	0	0	0	495	276	42	0	0	0	266	0	0	870	0	0	0	0	0	0	0	0	0	1	216	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	215	0	0	0	334	0	0	1	249	0	0	0	0	0	0	0	231	125	2	46	0	0	169	0	207	384	0	455	1	0	0
"31"	"OTU_29"	2690	1	22	1	0	0	0	0	25	1	60	0	0	0	1	0	0	0	0	191	2	0	173	5	9	1	0	1	0	1	0	1	0	2	4763	1	1	2	946	9	0	0	0	0	12	0	0	0	0	0	10	0	0	0	7	0	1	119	0	1	1671	0	0	95	0	0	0	0	415	0	0	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	900	0	0	0	0	0	236	0	3	6	1	0	8	0	1011	5	2205	2	1	1	0	0	0	1	0	1579	0	0	2	1	0	1	1	1	0	0	230	0	448	0	0	0	0	1	0	326	0	0	0	0
"32"	"OTU_16"	13	1	0	0	1	1	0	0	0	273	1	0	0	0	1	0	0	1	0	6	1	1320	1	1382	0	1	0	0	1	0	2380	0	2365	0	1	0	1608	1	609	1572	1018	1130	0	0	1	0	0	450	0	0	1752	0	1	2	0	0	0	3	963	238	0	0	1979	5	0	1508	0	0	8	2	1	1	0	0	2895	2144	0	0	0	0	621	0	1	1061	5	0	0	0	0	0	0	1	1440	2	941	0	0	0	0	1	7	3	1	1	0	0	1	1	12	3	0	1	0	754	0	0	0	2125	1	1	0	310	0	1	1	0	0	0	1	1595	340	1	3	1	1	758	4	862	889	0	745	1	1631	585
"33"	"OTU_592"	1	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	11	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	8	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	0	1	0	0	0	5	0	0	0	0	0	0	18	0	0	0	0	0	0	0	6	0	2	0	1	0	0	234	0	0	0	0	0	12	0	3	0	0	0	1	0	3	5	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0
"34"	"OTU_319"	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"35"	"OTU_48"	2332	1	267	1	1	1	0	0	210	0	21	0	0	0	0	0	0	0	0	56	0	0	4	0	0	0	0	0	0	0	0	17	0	2	90	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	1	0	809	0	0	139	0	0	4	12	0	6	0	58	3	2	0	0	0	0	0	22	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	10	3	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	7	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
